1771017030_C09	28395.000000	59436.000000
1771017028_G05	27907.000000	59379.000000
1771052132_B02	27097.000000	56969.000000
1772099214_D12	28501.000000	59863.000000
1771017029_D09	28938.000000	60576.000000
1772099314_B05	49086.000000	40037.000000
1771048208_C05	26579.000000	57055.000000
1771048207_A11	26088.000000	57208.000000
1772099041_A03	27544.000000	60355.000000
1772117013_A03	49346.000000	39870.000000
1771017033_F01	29079.000000	62723.000000
1772117022_D07	25744.000000	58455.000000
1771017029_E10	29046.000000	61196.000000
1771017029_D05	28509.000000	59646.000000
1771017032_C02	28904.000000	61277.000000
1772099078_G02	29446.000000	61884.000000
1862091045_E11	37517.000000	44990.000000
1772099143_E12	28617.000000	60803.000000
1772099040_A08	27126.000000	59948.000000
1771051158_B09	26970.000000	58345.000000
1772099214_C05	36260.000000	30789.000000
1862091118_E08	38446.000000	42795.000000
1771051168_C08	27541.000000	60572.000000
1772117022_C10	27804.000000	59978.000000
1771017029_H07	27668.000000	59613.000000
1771017032_B02	28994.000000	60756.000000
1771048206_B11	26534.000000	56887.000000
1771051164_F10	27386.000000	56789.000000
1771051163_A06	28603.000000	61702.000000
1771051159_B05	29317.000000	61278.000000
1772099214_E05	28673.000000	60160.000000
1862091105_E04	38112.000000	44751.000000
1771051165_B03	28889.000000	62531.000000
1772117027_G04	26969.000000	60200.000000
1771017032_A09	27754.000000	57505.000000
1771048208_A12	26160.000000	56705.000000
1771051168_F02	26325.000000	56681.000000
1862091041_B10	27752.000000	55275.000000
1771051163_H04	22130.000000	58297.000000
1772117012_D12	28147.000000	58563.000000
1772125087_A04	26559.000000	55903.000000
1772092314_B12	28611.000000	58988.000000
1772089187_E10	27632.000000	57646.000000
1772117026_H09	49216.000000	40067.000000
1771017030_A09	28596.000000	60157.000000
1772063079_G11	29179.000000	61561.000000
1772092314_B05	28565.000000	58373.000000
1772099044_B07	26492.000000	56537.000000
1862091032_C03	37961.000000	44415.000000
1771017031_D10	28732.000000	59896.000000
